ORF,Gene,URL
YBL008W,HIR1,https://www.yeastgenome.org/locus/S000000104
YBL009W,ALK2,https://www.yeastgenome.org/locus/S000000105
YBL010C,YBL010C,https://www.yeastgenome.org/locus/S000000106
YBL011W,SCT1,https://www.yeastgenome.org/locus/S000000107
YBL012C,YBL012C,https://www.yeastgenome.org/locus/S000000108
YBL013W,FMT1,https://www.yeastgenome.org/locus/S000000109
YBL014C,RRN6,https://www.yeastgenome.org/locus/S000000110
YBL015W,ACH1,https://www.yeastgenome.org/locus/S000000111
YBL016W,FUS3,https://www.yeastgenome.org/locus/S000000112
YBL017C,PEP1,https://www.yeastgenome.org/locus/S000000113
YBL019W,APN2,https://www.yeastgenome.org/locus/S000000115
YBL020W,RFT1,https://www.yeastgenome.org/locus/S000000116
YBL021C,HAP3,https://www.yeastgenome.org/locus/S000000117
YBL022C,PIM1,https://www.yeastgenome.org/locus/S000000118
YBL023C,MCM2,https://www.yeastgenome.org/locus/S000000119
YBL024W,NCL1,https://www.yeastgenome.org/locus/S000000120
YBL025W,RRN10,https://www.yeastgenome.org/locus/S000000121
YBL028C,YBL028C,https://www.yeastgenome.org/locus/S000000124
YBL029W,YBL029W,https://www.yeastgenome.org/locus/S000000125
YBL030C,PET9,https://www.yeastgenome.org/locus/S000000126
YBL031W,SHE1,https://www.yeastgenome.org/locus/S000000127
YBL032W,HEK2,https://www.yeastgenome.org/locus/S000000128
YBL033C,RIB1,https://www.yeastgenome.org/locus/S000000129
YBL034C,STU1,https://www.yeastgenome.org/locus/S000000130
YBL035C,POL12,https://www.yeastgenome.org/locus/S000000131
YBL036C,YBL036C,https://www.yeastgenome.org/locus/S000000132
YBL037W,APL3,https://www.yeastgenome.org/locus/S000000133
YBL038W,MRPL16,https://www.yeastgenome.org/locus/S000000134
YBL039C,URA7,https://www.yeastgenome.org/locus/S000000135
YBL041W,PRE7,https://www.yeastgenome.org/locus/S000000137
YBL042C,FUI1,https://www.yeastgenome.org/locus/S000000138
YBL043W,ECM13,https://www.yeastgenome.org/locus/S000000139
YBL044W,YBL044W,https://www.yeastgenome.org/locus/S000000140
YBL045C,COR1,https://www.yeastgenome.org/locus/S000000141
YBL046W,PSY4,https://www.yeastgenome.org/locus/S000000142
YBL047C,EDE1,https://www.yeastgenome.org/locus/S000000143
YBL048W,RRT1,https://www.yeastgenome.org/locus/S000000144
YBL049W,MOH1,https://www.yeastgenome.org/locus/S000000145
YBL051C,PIN4,https://www.yeastgenome.org/locus/S000000147
YBL052C,SAS3,https://www.yeastgenome.org/locus/S000000148
YBL053W,YBL053W,https://www.yeastgenome.org/locus/S000000149
YBL054W,TOD6,https://www.yeastgenome.org/locus/S000000150
YBL055C,YBL055C,https://www.yeastgenome.org/locus/S000000151
YBL056W,PTC3,https://www.yeastgenome.org/locus/S000000152
YBL057C,PTH2,https://www.yeastgenome.org/locus/S000000153
YBL058W,SHP1,https://www.yeastgenome.org/locus/S000000154
YBL060W,YEL1,https://www.yeastgenome.org/locus/S000000156
YBL061C,SKT5,https://www.yeastgenome.org/locus/S000000157
YBL062W,YBL062W,https://www.yeastgenome.org/locus/S000000158
YBL063W,KIP1,https://www.yeastgenome.org/locus/S000000159
YBL064C,PRX1,https://www.yeastgenome.org/locus/S000000160
YBL065W,YBL065W,https://www.yeastgenome.org/locus/S000000161
YBL066C,SEF1,https://www.yeastgenome.org/locus/S000000162
YBL067C,UBP13,https://www.yeastgenome.org/locus/S000000163
YBL068W,PRS4,https://www.yeastgenome.org/locus/S000000164
YBL069W,AST1,https://www.yeastgenome.org/locus/S000000165
YBL070C,YBL070C,https://www.yeastgenome.org/locus/S000000166
YBL071C,YBL071C,https://www.yeastgenome.org/locus/S000000167
YBL072C,RPS8A,https://www.yeastgenome.org/locus/S000000168
YBL073W,YBL073W,https://www.yeastgenome.org/locus/S000000169
YBL074C,AAR2,https://www.yeastgenome.org/locus/S000000170
YBL075C,SSA3,https://www.yeastgenome.org/locus/S000000171
YBL076C,ILS1,https://www.yeastgenome.org/locus/S000000172
YBL077W,YBL077W,https://www.yeastgenome.org/locus/S000000173
YBL078C,ATG8,https://www.yeastgenome.org/locus/S000000174
YBL079W,NUP170,https://www.yeastgenome.org/locus/S000000175
YBL080C,PET112,https://www.yeastgenome.org/locus/S000000176
YBL081W,YBL081W,https://www.yeastgenome.org/locus/S000000177
YBL082C,ALG3,https://www.yeastgenome.org/locus/S000000178
YBL083C,YBL083C,https://www.yeastgenome.org/locus/S000000179
YBL084C,CDC27,https://www.yeastgenome.org/locus/S000000180
YBL085W,BOI1,https://www.yeastgenome.org/locus/S000000181
YBL086C,YBL086C,https://www.yeastgenome.org/locus/S000000182
YBL088C,TEL1,https://www.yeastgenome.org/locus/S000000184
YBL089W,AVT5,https://www.yeastgenome.org/locus/S000000185
YBL090W,MRP21,https://www.yeastgenome.org/locus/S000000186
YBL091C,MAP2,https://www.yeastgenome.org/locus/S000000187
YBL092W,RPL32,https://www.yeastgenome.org/locus/S000000188
YBL093C,ROX3,https://www.yeastgenome.org/locus/S000000189
YBL094C,YBL094C,https://www.yeastgenome.org/locus/S000000190
YBL095W,MRX3,https://www.yeastgenome.org/locus/S000000191
YBL096C,YBL096C,https://www.yeastgenome.org/locus/S000000192
YBL097W,BRN1,https://www.yeastgenome.org/locus/S000000193
YBL098W,BNA4,https://www.yeastgenome.org/locus/S000000194
YBL099W,ATP1,https://www.yeastgenome.org/locus/S000000195
YBL100C,YBL100C,https://www.yeastgenome.org/locus/S000000196
YBL101C,ECM21,https://www.yeastgenome.org/locus/S000000197
YBL102W,SFT2,https://www.yeastgenome.org/locus/S000000198
YBL103C,RTG3,https://www.yeastgenome.org/locus/S000000199
YBL104C,SEA4,https://www.yeastgenome.org/locus/S000000200
YBL105C,PKC1,https://www.yeastgenome.org/locus/S000000201
YBL106C,SRO77,https://www.yeastgenome.org/locus/S000000202
YBL107C,MIX23,https://www.yeastgenome.org/locus/S000000203
YBL108W,YBL108W,https://www.yeastgenome.org/locus/S000000204
YBL109W,YBL109W,https://www.yeastgenome.org/locus/S000002150
YBL112C,YBL112C,https://www.yeastgenome.org/locus/S000002152
YBL113C,YBL113C,https://www.yeastgenome.org/locus/S000002153
YBR001C,NTH2,https://www.yeastgenome.org/locus/S000000205
YBR002C,RER2,https://www.yeastgenome.org/locus/S000000206
YBR003W,COQ1,https://www.yeastgenome.org/locus/S000000207
YBR004C,GPI18,https://www.yeastgenome.org/locus/S000000208
YBR005W,RCR1,https://www.yeastgenome.org/locus/S000000209
YBR006W,UGA2,https://www.yeastgenome.org/locus/S000000210
YBR007C,DSF2,https://www.yeastgenome.org/locus/S000000211
YBR008C,FLR1,https://www.yeastgenome.org/locus/S000000212
YBR009C,HHF1,https://www.yeastgenome.org/locus/S000000213
YBR010W,HHT1,https://www.yeastgenome.org/locus/S000000214
YBR011C,IPP1,https://www.yeastgenome.org/locus/S000000215
YBR012C,YBR012C,https://www.yeastgenome.org/locus/S000000216
YBR013C,YBR013C,https://www.yeastgenome.org/locus/S000000217
YBR014C,GRX7,https://www.yeastgenome.org/locus/S000000218
YBR015C,MNN2,https://www.yeastgenome.org/locus/S000000219
YBR016W,YBR016W,https://www.yeastgenome.org/locus/S000000220
YBR017C,KAP104,https://www.yeastgenome.org/locus/S000000221
YBR018C,GAL7,https://www.yeastgenome.org/locus/S000000222
YBR019C,GAL10,https://www.yeastgenome.org/locus/S000000223
YBR020W,GAL1,https://www.yeastgenome.org/locus/S000000224
YBR021W,FUR4,https://www.yeastgenome.org/locus/S000000225
YBR022W,POA1,https://www.yeastgenome.org/locus/S000000226
YBR023C,CHS3,https://www.yeastgenome.org/locus/S000000227
YBR024W,SCO2,https://www.yeastgenome.org/locus/S000000228
YBR025C,OLA1,https://www.yeastgenome.org/locus/S000000229
YBR026C,ETR1,https://www.yeastgenome.org/locus/S000000230
YBR027C,YBR027C,https://www.yeastgenome.org/locus/S000000231
YBR028C,YPK3,https://www.yeastgenome.org/locus/S000000232
YBR029C,CDS1,https://www.yeastgenome.org/locus/S000000233
YBR030W,RKM3,https://www.yeastgenome.org/locus/S000000234
YBR031W,RPL4A,https://www.yeastgenome.org/locus/S000000235
YBR032W,YBR032W,https://www.yeastgenome.org/locus/S000000236
YBR033W,EDS1,https://www.yeastgenome.org/locus/S000000237
YBR034C,HMT1,https://www.yeastgenome.org/locus/S000000238
YBR035C,PDX3,https://www.yeastgenome.org/locus/S000000239
YBR036C,CSG2,https://www.yeastgenome.org/locus/S000000240
YBR037C,SCO1,https://www.yeastgenome.org/locus/S000000241
YBR038W,CHS2,https://www.yeastgenome.org/locus/S000000242
YBR039W,ATP3,https://www.yeastgenome.org/locus/S000000243
YBR040W,FIG1,https://www.yeastgenome.org/locus/S000000244
YBR041W,FAT1,https://www.yeastgenome.org/locus/S000000245
YBR042C,CST26,https://www.yeastgenome.org/locus/S000000246
YBR043C,QDR3,https://www.yeastgenome.org/locus/S000000247
YBR044C,TCM62,https://www.yeastgenome.org/locus/S000000248
YBR045C,GIP1,https://www.yeastgenome.org/locus/S000000249
YBR046C,ZTA1,https://www.yeastgenome.org/locus/S000000250
YBR047W,FMP23,https://www.yeastgenome.org/locus/S000000251
YBR049C,REB1,https://www.yeastgenome.org/locus/S000000253
YBR050C,REG2,https://www.yeastgenome.org/locus/S000000254
YBR051W,YBR051W,https://www.yeastgenome.org/locus/S000000255
YBR052C,RFS1,https://www.yeastgenome.org/locus/S000000256
YBR053C,YBR053C,https://www.yeastgenome.org/locus/S000000257
YBR054W,YRO2,https://www.yeastgenome.org/locus/S000000258
YBR055C,PRP6,https://www.yeastgenome.org/locus/S000000259
YBR056W,YBR056W,https://www.yeastgenome.org/locus/S000000260
YBR057C,MUM2,https://www.yeastgenome.org/locus/S000000261
YBR058C,UBP14,https://www.yeastgenome.org/locus/S000000262
YBR059C,AKL1,https://www.yeastgenome.org/locus/S000000263
YBR060C,ORC2,https://www.yeastgenome.org/locus/S000000264
YBR061C,TRM7,https://www.yeastgenome.org/locus/S000000265
YBR063C,YBR063C,https://www.yeastgenome.org/locus/S000000267
YBR064W,YBR064W,https://www.yeastgenome.org/locus/S000000268
YBR065C,ECM2,https://www.yeastgenome.org/locus/S000000269
YBR066C,NRG2,https://www.yeastgenome.org/locus/S000000270
YBR067C,TIP1,https://www.yeastgenome.org/locus/S000000271
YBR068C,BAP2,https://www.yeastgenome.org/locus/S000000272
YBR069C,TAT1,https://www.yeastgenome.org/locus/S000000273
YBR070C,ALG14,https://www.yeastgenome.org/locus/S000000274
YBR071W,YBR071W,https://www.yeastgenome.org/locus/S000000275
YBR072W,HSP26,https://www.yeastgenome.org/locus/S000000276
YBR073W,RDH54,https://www.yeastgenome.org/locus/S000000277
YBR074W,PFF1,https://www.yeastgenome.org/locus/S000000278
YBR076W,ECM8,https://www.yeastgenome.org/locus/S000000280
YBR077C,SLM4,https://www.yeastgenome.org/locus/S000000281
YBR079C,RPG1,https://www.yeastgenome.org/locus/S000000283
YBR080C,SEC18,https://www.yeastgenome.org/locus/S000000284
YBR081C,SPT7,https://www.yeastgenome.org/locus/S000000285
YBR083W,TEC1,https://www.yeastgenome.org/locus/S000000287
YBR084W,MIS1,https://www.yeastgenome.org/locus/S000000288
YBR085W,AAC3,https://www.yeastgenome.org/locus/S000000289
YBR086C,IST2,https://www.yeastgenome.org/locus/S000000290
YBR087W,RFC5,https://www.yeastgenome.org/locus/S000000291
YBR088C,POL30,https://www.yeastgenome.org/locus/S000000292
YBR089W,YBR089W,https://www.yeastgenome.org/locus/S000000293
YBR091C,TIM12,https://www.yeastgenome.org/locus/S000000295
YBR092C,PHO3,https://www.yeastgenome.org/locus/S000000296
YBR093C,PHO5,https://www.yeastgenome.org/locus/S000000297
YBR094W,PBY1,https://www.yeastgenome.org/locus/S000000298
YBR095C,RXT2,https://www.yeastgenome.org/locus/S000000299
YBR096W,YBR096W,https://www.yeastgenome.org/locus/S000000300
YBR097W,VPS15,https://www.yeastgenome.org/locus/S000000301
YBR098W,MMS4,https://www.yeastgenome.org/locus/S000000302
YBR099C,YBR099C,https://www.yeastgenome.org/locus/S000000303
YBR101C,FES1,https://www.yeastgenome.org/locus/S000000305
YBR102C,EXO84,https://www.yeastgenome.org/locus/S000000306
YBR103W,SIF2,https://www.yeastgenome.org/locus/S000000307
YBR104W,YMC2,https://www.yeastgenome.org/locus/S000000308
YBR105C,VID24,https://www.yeastgenome.org/locus/S000000309
YBR106W,SND3,https://www.yeastgenome.org/locus/S000000310
YBR107C,IML3,https://www.yeastgenome.org/locus/S000000311
YBR108W,AIM3,https://www.yeastgenome.org/locus/S000000312
YBR109C,CMD1,https://www.yeastgenome.org/locus/S000000313
YBR110W,ALG1,https://www.yeastgenome.org/locus/S000000314
YBR111C,YSA1,https://www.yeastgenome.org/locus/S000000315
YBR112C,CYC8,https://www.yeastgenome.org/locus/S000000316
YBR113W,YBR113W,https://www.yeastgenome.org/locus/S000000317
YBR114W,RAD16,https://www.yeastgenome.org/locus/S000000318
YBR115C,LYS2,https://www.yeastgenome.org/locus/S000000319
YBR116C,YBR116C,https://www.yeastgenome.org/locus/S000000320
YBR117C,TKL2,https://www.yeastgenome.org/locus/S000000321
YBR118W,TEF2,https://www.yeastgenome.org/locus/S000000322
YBR120C,CBP6,https://www.yeastgenome.org/locus/S000000324
YBR121C,GRS1,https://www.yeastgenome.org/locus/S000000325
YBR122C,MRPL36,https://www.yeastgenome.org/locus/S000000326
YBR123C,TFC1,https://www.yeastgenome.org/locus/S000000327
YBR124W,YBR124W,https://www.yeastgenome.org/locus/S000000328
YBR125C,PTC4,https://www.yeastgenome.org/locus/S000000329
YBR126C,TPS1,https://www.yeastgenome.org/locus/S000000330
YBR127C,VMA2,https://www.yeastgenome.org/locus/S000000331
YBR128C,ATG14,https://www.yeastgenome.org/locus/S000000332
YBR129C,OPY1,https://www.yeastgenome.org/locus/S000000333
YBR130C,SHE3,https://www.yeastgenome.org/locus/S000000334
YBR131W,CCZ1,https://www.yeastgenome.org/locus/S000000335
YBR132C,AGP2,https://www.yeastgenome.org/locus/S000000336
YBR133C,HSL7,https://www.yeastgenome.org/locus/S000000337
YBR134W,YBR134W,https://www.yeastgenome.org/locus/S000000338
YBR135W,CKS1,https://www.yeastgenome.org/locus/S000000339
YBR136W,MEC1,https://www.yeastgenome.org/locus/S000000340
YBR137W,YBR137W,https://www.yeastgenome.org/locus/S000000341
YBR138C,YBR138C,https://www.yeastgenome.org/locus/S000000342
YBR139W,ATG42,https://www.yeastgenome.org/locus/S000000343
YBR140C,IRA1,https://www.yeastgenome.org/locus/S000000344
YBR141C,BMT2,https://www.yeastgenome.org/locus/S000000345
YBR142W,MAK5,https://www.yeastgenome.org/locus/S000000346
YBR143C,SUP45,https://www.yeastgenome.org/locus/S000000347
YBR144C,YBR144C,https://www.yeastgenome.org/locus/S000000348
YBR145W,ADH5,https://www.yeastgenome.org/locus/S000000349
YBR146W,MRPS9,https://www.yeastgenome.org/locus/S000000350
YBR147W,RTC2,https://www.yeastgenome.org/locus/S000000351
YBR148W,YSW1,https://www.yeastgenome.org/locus/S000000352
YBR149W,ARA1,https://www.yeastgenome.org/locus/S000000353
YBR150C,TBS1,https://www.yeastgenome.org/locus/S000000354
YBR151W,APD1,https://www.yeastgenome.org/locus/S000000355
YBR152W,SPP381,https://www.yeastgenome.org/locus/S000000356
YBR153W,RIB7,https://www.yeastgenome.org/locus/S000000357
YBR154C,RPB5,https://www.yeastgenome.org/locus/S000000358
YBR155W,CNS1,https://www.yeastgenome.org/locus/S000000359
YBR156C,SLI15,https://www.yeastgenome.org/locus/S000000360
YBR157C,ICS2,https://www.yeastgenome.org/locus/S000000361
YBR158W,AMN1,https://www.yeastgenome.org/locus/S000000362
YBR159W,IFA38,https://www.yeastgenome.org/locus/S000000363
YBR160W,CDC28,https://www.yeastgenome.org/locus/S000000364
YBR161W,CSH1,https://www.yeastgenome.org/locus/S000000365
YBR162C,TOS1,https://www.yeastgenome.org/locus/S000000366
YBR163W,EXO5,https://www.yeastgenome.org/locus/S000000367
YBR164C,ARL1,https://www.yeastgenome.org/locus/S000000368
YBR165W,UBS1,https://www.yeastgenome.org/locus/S000000369
YBR166C,TYR1,https://www.yeastgenome.org/locus/S000000370
YBR167C,POP7,https://www.yeastgenome.org/locus/S000000371
YBR168W,PEX32,https://www.yeastgenome.org/locus/S000000372
YBR169C,SSE2,https://www.yeastgenome.org/locus/S000000373
YBR170C,NPL4,https://www.yeastgenome.org/locus/S000000374
YBR171W,SEC66,https://www.yeastgenome.org/locus/S000000375
YBR172C,SMY2,https://www.yeastgenome.org/locus/S000000376
YBR173C,UMP1,https://www.yeastgenome.org/locus/S000000377
